                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1914,                0.68157,                 1.1306,                0.94109,                0.91182,                0.96787,                0.64513,                 1.2683,                0.64212,                 1.2558,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1725,                0.67762,                 1.1297,                0.95543,                0.92466,                0.97814,                0.64316,                  1.284,                0.62108,                 1.2495,               0.000911,               0.000911,               0.000911
                     58,                   1.19,                0.68604,                 1.1271,                0.95756,                0.92724,                0.97856,                0.63708,                 1.2792,                 0.6158,                 1.2488,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1621,                0.66842,                 1.1242,                0.92409,                0.94521,                 0.9778,                0.64404,                  1.253,                0.61132,                 1.2303,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1503,                 0.6701,                 1.1279,                0.93594,                0.95205,                0.97492,                0.63497,                 1.2986,                0.61259,                 1.2559,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1602,                0.67756,                 1.1214,                 0.9544,                0.92694,                0.97251,                0.63926,                 1.2654,                0.62064,                 1.2334,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1435,                0.64959,                 1.1062,                0.94237,                0.92694,                 0.9706,                0.64607,                 1.2859,                0.63218,                 1.2537,               0.000812,               0.000812,               0.000812
                     63,                 1.1351,                0.64555,                 1.0989,                  0.964,                0.91709,                0.97087,                 0.6346,                 1.2915,                0.61329,                 1.2612,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.148,                0.65693,                 1.0977,                0.95336,                0.94749,                 0.9772,                0.63932,                 1.2677,                0.59974,                 1.2469,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1554,                0.64844,                 1.1182,                 0.9389,                0.94729,                0.98186,                0.65222,                 1.2814,                0.61565,                 1.2725,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.124,                0.63141,                 1.1003,                  0.925,                0.95735,                0.98018,                0.66394,                 1.2548,                0.59121,                  1.236,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1179,                0.65409,                 1.0972,                0.95204,                0.93836,                0.98247,                0.64615,                 1.2569,                0.58209,                 1.2457,               0.000713,               0.000713,               0.000713
                     68,                 1.1096,                0.62085,                 1.0942,                0.96883,                0.92239,                0.98227,                0.64883,                 1.2495,                0.58735,                 1.2301,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1177,                0.63892,                 1.1039,                0.95706,                0.91594,                0.97026,                0.66274,                 1.2435,                0.59932,                  1.221,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1051,                0.61482,                 1.0891,                0.94054,                0.93905,                0.97732,                0.66462,                 1.2658,                0.58298,                 1.2423,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0909,                 0.6171,                 1.0922,                0.92854,                0.94926,                0.97172,                0.64782,                 1.2579,                0.58105,                 1.2506,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0819,                0.61607,                 1.0778,                 0.9415,                0.95205,                0.98273,                0.64466,                 1.2463,                0.57628,                 1.2398,               0.000614,               0.000614,               0.000614
                     73,                 1.1035,                0.61237,                 1.0812,                0.93902,                0.95205,                0.98263,                 0.6592,                 1.2537,                0.58365,                  1.244,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0875,                0.61136,                 1.0779,                0.94915,                 0.9376,                0.98141,                0.65282,                 1.2462,                0.57341,                 1.2463,              0.0005744,              0.0005744,              0.0005744
